,Month,Day,Start Time,End Time,Operating Hours
0,2021-05,2021-05-01,2021-05-01 08:45:00,2021-05-01 14:40:00,5.916666666666667
1,2021-05,2021-05-02,2021-05-02 07:55:00,2021-05-02 17:05:00,9.166666666666666
2,2021-05,2021-05-03,2021-05-03 08:50:00,2021-05-03 16:20:00,7.5
3,2021-05,2021-05-04,2021-05-04 08:00:00,2021-05-04 13:40:00,5.666666666666667
4,2021-05,2021-05-05,2021-05-05 08:25:00,2021-05-05 15:25:00,7.0
5,2021-05,2021-05-06,2021-05-06 07:20:00,2021-05-06 16:55:00,9.583333333333334
6,2021-05,2021-05-07,2021-05-07 09:05:00,2021-05-07 17:00:00,7.916666666666667
7,2021-05,2021-05-08,2021-05-08 07:20:00,2021-05-08 16:50:00,9.5
8,2021-05,2021-05-09,2021-05-09 07:20:00,2021-05-09 17:00:00,9.666666666666666
9,2021-05,2021-05-10,2021-05-10 07:30:00,2021-05-10 16:55:00,9.416666666666666
10,2021-05,2021-05-11,2021-05-11 07:30:00,2021-05-11 16:50:00,9.333333333333334
11,2021-05,2021-05-12,2021-05-12 07:15:00,2021-05-12 17:00:00,9.75
12,2021-05,2021-05-13,2021-05-13 07:15:00,2021-05-13 16:55:00,9.666666666666666
13,2021-05,2021-05-14,2021-05-14 07:20:00,2021-05-14 17:00:00,9.666666666666666
14,2021-05,2021-05-15,2021-05-15 07:30:00,2021-05-15 16:55:00,9.416666666666666
15,2021-05,2021-05-16,2021-05-16 07:25:00,2021-05-16 16:50:00,9.416666666666666
16,2021-05,2021-05-17,2021-05-17 07:25:00,2021-05-17 16:50:00,9.416666666666666
17,2021-05,2021-05-18,2021-05-18 07:20:00,2021-05-18 17:05:00,9.75
18,2021-05,2021-05-19,2021-05-19 07:35:00,2021-05-19 17:00:00,9.416666666666666
19,2021-05,2021-05-20,2021-05-20 07:25:00,2021-05-20 16:55:00,9.5
20,2021-05,2021-05-21,2021-05-21 07:25:00,2021-05-21 17:00:00,9.583333333333334
21,2021-05,2021-05-22,2021-05-22 07:25:00,2021-05-22 16:55:00,9.5
22,2021-05,2021-05-23,2021-05-23 07:30:00,2021-05-23 16:55:00,9.416666666666666
23,2021-05,2021-05-24,2021-05-24 07:25:00,2021-05-24 16:55:00,9.5
24,2021-05,2021-05-25,2021-05-25 07:25:00,2021-05-25 16:50:00,9.416666666666666
25,2021-05,2021-05-26,2021-05-26 07:35:00,2021-05-26 16:55:00,9.333333333333334
26,2021-05,2021-05-27,2021-05-27 08:25:00,2021-05-27 16:30:00,8.083333333333334
27,2021-05,2021-05-28,2021-05-28 07:35:00,2021-05-28 16:45:00,9.166666666666666
28,2021-05,2021-05-29,2021-05-29 07:35:00,2021-05-29 16:50:00,9.25
29,2021-05,2021-05-30,2021-05-30 07:20:00,2021-05-30 16:55:00,9.583333333333334
30,2021-05,2021-05-31,2021-05-31 08:05:00,2021-05-31 16:50:00,8.75
31,2021-06,2021-06-01,2021-06-01 07:25:00,2021-06-01 15:55:00,8.5
32,2021-06,2021-06-02,2021-06-02 07:40:00,2021-06-02 17:00:00,9.333333333333334
33,2021-06,2021-06-03,2021-06-03 08:55:00,2021-06-03 16:50:00,7.916666666666667
34,2021-06,2021-06-04,2021-06-04 07:40:00,2021-06-04 16:55:00,9.25
35,2021-06,2021-06-05,2021-06-05 07:50:00,2021-06-05 16:45:00,8.916666666666666
36,2021-06,2021-06-06,2021-06-06 08:05:00,2021-06-06 16:55:00,8.833333333333334
37,2021-06,2021-06-07,2021-06-07 08:20:00,2021-06-07 16:55:00,8.583333333333334
38,2021-06,2021-06-08,2021-06-08 07:30:00,2021-06-08 16:45:00,9.25
39,2021-06,2021-06-09,2021-06-09 07:30:00,2021-06-09 16:55:00,9.416666666666666
40,2021-06,2021-06-10,2021-06-10 07:30:00,2021-06-10 16:55:00,9.416666666666666
41,2021-06,2021-06-11,2021-06-11 07:30:00,2021-06-11 16:55:00,9.416666666666666
42,2021-06,2021-06-12,2021-06-12 07:40:00,2021-06-12 16:50:00,9.166666666666666
43,2021-06,2021-06-13,2021-06-13 07:45:00,2021-06-13 16:55:00,9.166666666666666
44,2021-06,2021-06-14,2021-06-14 07:40:00,2021-06-14 16:55:00,9.25
45,2021-06,2021-06-15,2021-06-15 07:05:00,2021-06-15 16:55:00,9.833333333333334
46,2021-06,2021-06-16,2021-06-16 07:35:00,2021-06-16 16:55:00,9.333333333333334
47,2021-06,2021-06-17,2021-06-17 08:00:00,2021-06-17 16:00:00,8.0
48,2021-06,2021-06-18,2021-06-18 09:45:00,2021-06-18 16:35:00,6.833333333333333
49,2021-06,2021-06-19,2021-06-19 07:45:00,2021-06-19 16:50:00,9.083333333333334
50,2021-06,2021-06-20,2021-06-20 07:25:00,2021-06-20 16:50:00,9.416666666666666
51,2021-06,2021-06-21,2021-06-21 07:50:00,2021-06-21 16:55:00,9.083333333333334
52,2021-06,2021-06-22,2021-06-22 07:45:00,2021-06-22 16:55:00,9.166666666666666
53,2021-06,2021-06-23,2021-06-23 07:55:00,2021-06-23 17:10:00,9.25
54,2021-06,2021-06-24,2021-06-24 07:40:00,2021-06-24 16:50:00,9.166666666666666
55,2021-06,2021-06-25,2021-06-25 07:45:00,2021-06-25 16:55:00,9.166666666666666
56,2021-06,2021-06-26,2021-06-26 07:45:00,2021-06-26 16:50:00,9.083333333333334
57,2021-06,2021-06-27,2021-06-27 07:55:00,2021-06-27 15:45:00,7.833333333333333
58,2021-06,2021-06-28,2021-06-28 07:40:00,2021-06-28 17:00:00,9.333333333333334
59,2021-06,2021-06-29,2021-06-29 07:40:00,2021-06-29 16:55:00,9.25
60,2021-06,2021-06-30,2021-06-30 07:40:00,2021-06-30 16:50:00,9.166666666666666
61,2021-07,2021-07-01,2021-07-01 07:45:00,2021-07-01 16:55:00,9.166666666666666
62,2021-07,2021-07-02,2021-07-02 07:35:00,2021-07-02 16:50:00,9.25
63,2021-07,2021-07-03,2021-07-03 07:40:00,2021-07-03 16:45:00,9.083333333333334
64,2021-07,2021-07-04,2021-07-04 07:40:00,2021-07-04 16:55:00,9.25
65,2021-07,2021-07-05,2021-07-05 07:50:00,2021-07-05 16:55:00,9.083333333333334
66,2021-07,2021-07-06,2021-07-06 07:40:00,2021-07-06 16:55:00,9.25
67,2021-07,2021-07-07,2021-07-07 07:55:00,2021-07-07 16:50:00,8.916666666666666
68,2021-07,2021-07-08,2021-07-08 07:45:00,2021-07-08 16:50:00,9.083333333333334
69,2021-07,2021-07-09,2021-07-09 07:40:00,2021-07-09 16:40:00,9.0
70,2021-07,2021-07-10,2021-07-10 07:45:00,2021-07-10 16:50:00,9.083333333333334
71,2021-07,2021-07-11,2021-07-11 07:50:00,2021-07-11 16:50:00,9.0
72,2021-07,2021-07-12,2021-07-12 07:55:00,2021-07-12 16:55:00,9.0
73,2021-07,2021-07-13,2021-07-13 07:50:00,2021-07-13 16:45:00,8.916666666666666
74,2021-07,2021-07-14,2021-07-14 07:45:00,2021-07-14 16:15:00,8.5
75,2021-07,2021-07-18,2021-07-18 13:50:00,2021-07-18 17:00:00,3.1666666666666665
76,2021-07,2021-07-19,2021-07-19 07:45:00,2021-07-19 16:50:00,9.083333333333334
77,2021-07,2021-07-20,2021-07-20 07:40:00,2021-07-20 16:55:00,9.25
78,2021-07,2021-07-21,2021-07-21 07:50:00,2021-07-21 17:00:00,9.166666666666666
79,2021-07,2021-07-22,2021-07-22 07:45:00,2021-07-22 16:55:00,9.166666666666666
80,2021-07,2021-07-23,2021-07-23 07:55:00,2021-07-23 17:00:00,9.083333333333334
81,2021-07,2021-07-24,2021-07-24 07:45:00,2021-07-24 16:55:00,9.166666666666666
82,2021-07,2021-07-25,2021-07-25 07:45:00,2021-07-25 16:55:00,9.166666666666666
