,Month,Day,Start Time,End Time,Operating Hours
0,2021-05,2021-05-01,2021-05-01 06:20:00,2021-05-01 18:20:00,12.0
1,2021-05,2021-05-02,2021-05-02 06:15:00,2021-05-02 18:45:00,12.5
2,2021-05,2021-05-03,2021-05-03 07:20:00,2021-05-03 18:50:00,11.5
3,2021-05,2021-05-04,2021-05-04 06:10:00,2021-05-04 18:25:00,12.25
4,2021-05,2021-05-05,2021-05-05 06:30:00,2021-05-05 18:30:00,12.0
5,2021-05,2021-05-06,2021-05-06 06:05:00,2021-05-06 18:45:00,12.666666666666666
6,2021-05,2021-05-07,2021-05-07 06:00:00,2021-05-07 18:45:00,12.75
7,2021-05,2021-05-08,2021-05-08 05:50:00,2021-05-08 18:40:00,12.833333333333334
8,2021-05,2021-05-09,2021-05-09 05:50:00,2021-05-09 18:50:00,13.0
9,2021-05,2021-05-10,2021-05-10 06:05:00,2021-05-10 18:50:00,12.75
10,2021-05,2021-05-11,2021-05-11 06:05:00,2021-05-11 18:50:00,12.75
11,2021-05,2021-05-12,2021-05-12 06:00:00,2021-05-12 18:45:00,12.75
12,2021-05,2021-05-13,2021-05-13 05:55:00,2021-05-13 18:45:00,12.833333333333334
13,2021-05,2021-05-14,2021-05-14 05:55:00,2021-05-14 18:50:00,12.916666666666666
14,2021-05,2021-05-15,2021-05-15 05:50:00,2021-05-15 18:45:00,12.916666666666666
15,2021-05,2021-05-16,2021-05-16 05:45:00,2021-05-16 18:55:00,13.166666666666666
16,2021-05,2021-05-17,2021-05-17 06:00:00,2021-05-17 18:55:00,12.916666666666666
17,2021-05,2021-05-18,2021-05-18 05:55:00,2021-05-18 19:00:00,13.083333333333334
18,2021-05,2021-05-19,2021-05-19 05:55:00,2021-05-19 18:55:00,13.0
19,2021-05,2021-05-20,2021-05-20 06:05:00,2021-05-20 18:50:00,12.75
20,2021-05,2021-05-21,2021-05-21 05:40:00,2021-05-21 18:50:00,13.166666666666666
21,2021-05,2021-05-22,2021-05-22 05:35:00,2021-05-22 18:55:00,13.333333333333334
22,2021-05,2021-05-23,2021-05-23 05:50:00,2021-05-23 18:55:00,13.083333333333334
23,2021-05,2021-05-24,2021-05-24 05:45:00,2021-05-24 19:00:00,13.25
24,2021-05,2021-05-25,2021-05-25 05:55:00,2021-05-25 18:50:00,12.916666666666666
25,2021-05,2021-05-26,2021-05-26 06:00:00,2021-05-26 18:55:00,12.916666666666666
26,2021-05,2021-05-27,2021-05-27 06:00:00,2021-05-27 18:55:00,12.916666666666666
27,2021-05,2021-05-28,2021-05-28 05:55:00,2021-05-28 18:55:00,13.0
28,2021-05,2021-05-29,2021-05-29 06:10:00,2021-05-29 19:00:00,12.833333333333334
29,2021-05,2021-05-30,2021-05-30 05:55:00,2021-05-30 18:55:00,13.0
30,2021-05,2021-05-31,2021-05-31 06:05:00,2021-05-31 18:50:00,12.75
31,2021-06,2021-06-01,2021-06-01 06:10:00,2021-06-01 18:40:00,12.5
32,2021-06,2021-06-02,2021-06-02 06:00:00,2021-06-02 19:00:00,13.0
33,2021-06,2021-06-03,2021-06-03 06:00:00,2021-06-03 19:10:00,13.166666666666666
34,2021-06,2021-06-04,2021-06-04 05:45:00,2021-06-04 19:00:00,13.25
35,2021-06,2021-06-05,2021-06-05 06:10:00,2021-06-05 19:00:00,12.833333333333334
36,2021-06,2021-06-06,2021-06-06 05:50:00,2021-06-06 19:10:00,13.333333333333334
37,2021-06,2021-06-07,2021-06-07 05:50:00,2021-06-07 19:15:00,13.416666666666666
38,2021-06,2021-06-08,2021-06-08 05:50:00,2021-06-08 19:00:00,13.166666666666666
39,2021-06,2021-06-09,2021-06-09 06:05:00,2021-06-09 19:00:00,12.916666666666666
