,Month,Day,Start Time,End Time,Operating Hours
0,2021-05,2021-05-01,2021-05-01 06:00:00,2021-05-01 19:10:00,13.166666666666666
1,2021-05,2021-05-02,2021-05-02 05:50:00,2021-05-02 19:00:00,13.166666666666666
2,2021-05,2021-05-03,2021-05-03 06:00:00,2021-05-03 18:55:00,12.916666666666666
3,2021-05,2021-05-04,2021-05-04 05:45:00,2021-05-04 18:45:00,13.0
4,2021-05,2021-05-05,2021-05-05 05:50:00,2021-05-05 18:55:00,13.083333333333334
5,2021-05,2021-05-06,2021-05-06 05:50:00,2021-05-06 18:55:00,13.083333333333334
6,2021-05,2021-05-07,2021-05-07 05:35:00,2021-05-07 19:05:00,13.5
7,2021-05,2021-05-08,2021-05-08 05:35:00,2021-05-08 19:10:00,13.583333333333334
8,2021-05,2021-05-09,2021-05-09 05:40:00,2021-05-09 19:00:00,13.333333333333334
9,2021-05,2021-05-10,2021-05-10 05:45:00,2021-05-10 19:10:00,13.416666666666666
10,2021-05,2021-05-11,2021-05-11 05:35:00,2021-05-11 19:00:00,13.416666666666666
11,2021-05,2021-05-12,2021-05-12 05:35:00,2021-05-12 19:00:00,13.416666666666666
12,2021-05,2021-05-13,2021-05-13 05:30:00,2021-05-13 19:05:00,13.583333333333334
13,2021-05,2021-05-14,2021-05-14 05:30:00,2021-05-14 19:15:00,13.75
14,2021-05,2021-05-15,2021-05-15 05:35:00,2021-05-15 19:05:00,13.5
15,2021-05,2021-05-16,2021-05-16 05:35:00,2021-05-16 19:05:00,13.5
16,2021-05,2021-05-17,2021-05-17 05:35:00,2021-05-17 19:05:00,13.5
17,2021-05,2021-05-18,2021-05-18 05:35:00,2021-05-18 19:10:00,13.583333333333334
18,2021-05,2021-05-19,2021-05-19 05:30:00,2021-05-19 19:15:00,13.75
19,2021-05,2021-05-20,2021-05-20 05:35:00,2021-05-20 18:10:00,12.583333333333334
20,2021-05,2021-05-21,2021-05-21 05:30:00,2021-05-21 19:05:00,13.583333333333334
21,2021-05,2021-05-22,2021-05-22 05:30:00,2021-05-22 19:15:00,13.75
22,2021-05,2021-05-23,2021-05-23 05:30:00,2021-05-23 19:10:00,13.666666666666666
23,2021-05,2021-05-24,2021-05-24 05:25:00,2021-05-24 19:15:00,13.833333333333334
24,2021-05,2021-05-25,2021-05-25 05:30:00,2021-05-25 19:15:00,13.75
25,2021-05,2021-05-26,2021-05-26 05:25:00,2021-05-26 19:05:00,13.666666666666666
26,2021-05,2021-05-27,2021-05-27 05:30:00,2021-05-27 19:15:00,13.75
27,2021-05,2021-05-28,2021-05-28 05:30:00,2021-05-28 19:20:00,13.833333333333334
28,2021-05,2021-05-29,2021-05-29 05:25:00,2021-05-29 19:15:00,13.833333333333334
29,2021-05,2021-05-30,2021-05-30 05:25:00,2021-05-30 19:10:00,13.75
30,2021-05,2021-05-31,2021-05-31 05:40:00,2021-05-31 18:40:00,13.0
31,2021-06,2021-06-01,2021-06-01 05:35:00,2021-06-01 19:20:00,13.75
32,2021-06,2021-06-02,2021-06-02 05:40:00,2021-06-02 19:20:00,13.666666666666666
33,2021-06,2021-06-03,2021-06-03 05:30:00,2021-06-03 19:25:00,13.916666666666666
34,2021-06,2021-06-04,2021-06-04 05:20:00,2021-06-04 19:15:00,13.916666666666666
35,2021-06,2021-06-05,2021-06-05 05:40:00,2021-06-05 19:20:00,13.666666666666666
36,2021-06,2021-06-06,2021-06-06 05:35:00,2021-06-06 19:15:00,13.666666666666666
37,2021-06,2021-06-07,2021-06-07 05:40:00,2021-06-07 19:20:00,13.666666666666666
38,2021-06,2021-06-08,2021-06-08 05:30:00,2021-06-08 19:15:00,13.75
39,2021-06,2021-06-09,2021-06-09 05:45:00,2021-06-09 19:20:00,13.583333333333334
40,2021-06,2021-06-10,2021-06-10 05:25:00,2021-06-10 19:20:00,13.916666666666666
41,2021-06,2021-06-11,2021-06-11 05:25:00,2021-06-11 19:10:00,13.75
42,2021-06,2021-06-12,2021-06-12 05:20:00,2021-06-12 19:20:00,14.0
43,2021-06,2021-06-13,2021-06-13 05:25:00,2021-06-13 19:15:00,13.833333333333334
44,2021-06,2021-06-14,2021-06-14 05:25:00,2021-06-14 19:20:00,13.916666666666666
45,2021-06,2021-06-15,2021-06-15 05:15:00,2021-06-15 19:30:00,14.25
46,2021-06,2021-06-16,2021-06-16 05:25:00,2021-06-16 19:20:00,13.916666666666666
47,2021-06,2021-06-17,2021-06-17 05:25:00,2021-06-17 19:15:00,13.833333333333334
48,2021-06,2021-06-18,2021-06-18 05:30:00,2021-06-18 19:35:00,14.083333333333334
49,2021-06,2021-06-19,2021-06-19 05:20:00,2021-06-19 19:20:00,14.0
50,2021-06,2021-06-20,2021-06-20 05:35:00,2021-06-20 19:10:00,13.583333333333334
51,2021-06,2021-06-21,2021-06-21 05:40:00,2021-06-21 19:30:00,13.833333333333334
52,2021-06,2021-06-22,2021-06-22 05:30:00,2021-06-22 19:25:00,13.916666666666666
53,2021-06,2021-06-23,2021-06-23 05:25:00,2021-06-23 19:25:00,14.0
54,2021-06,2021-06-24,2021-06-24 05:25:00,2021-06-24 19:05:00,13.666666666666666
55,2021-06,2021-06-25,2021-06-25 05:35:00,2021-06-25 19:20:00,13.75
